score	key
-4923.1	ABBOTANDBLACK
-4935.9	ABBOTANDBLOOD
-5026.0	ABBOTANDCOUNT
-5032.4	ABBOTANDCURSE
-4908.8	ABBOTANDDEATH
-5019.8	ABBOTANDDEVIL
-4993.8	ABBOTANDDREAD
-5065.9	ABBOTANDFANES
-5019.6	ABBOTANDFIONA
-5022.8	ABBOTANDHEART
-4963.8	ABBOTANDHOUSE
-5010.3	ABBOTANDIRENA
-5064.2	ABBOTANDKIRIL
-4962.1	ABBOTANDKREZK
-4940.0	ABBOTANDMISTS
-4929.5	ABBOTANDMISTY
-5021.8	ABBOTANDNIGHT
-5020.6	ABBOTANDRAVEN
-5014.9	ABBOTBAROVIAN
-5006.2	ABBOTCRESCENT
-4912.9	ABBOTDARKLORD
-5050.5	ABBOTDARKNESS
-4983.5	ABBOTDONAVICH
-4899.1	ABBOTDREADFUL
-5109.1	ABBOTFORSAKEN
-5060.4	ABBOTFULLMOON
-4932.6	ABBOTGERTRUDA
-4981.9	ABBOTGULTHIAS
-4884.9	ABBOTIMMORTAL
-5087.3	ABBOTMARKOVIA
-4982.1	ABBOTOFBLOODY
-4973.9	ABBOTOFCASTLE
-4974.9	ABBOTOFCOFFIN
-5020.7	ABBOTOFCURSED
-4962.4	ABBOTOFDAMNED
-5009.7	ABBOTOFESCHER
-4991.1	ABBOTOFIREENA
-5018.8	ABBOTOFISMARK
-5020.5	ABBOTOFMIRROR
-4949.4	ABBOTOFMURIEL
-5000.8	ABBOTOFSERGEI
-5010.8	ABBOTOFSHADOW
-5026.6	ABBOTOFSORROW
-4974.8	ABBOTOFSTRAHD
-4937.6	ABBOTOFTROOPS
-5015.4	ABBOTOFUNDEAD
-4962.0	ABBOTOFVARGAS
-5050.8	ABBOTOFVASILI
-5051.8	ABBOTOFVICTOR
-4972.5	ABBOTRICTAVIO
-5007.5	ABBOTSTANIMIR
-4986.3	ABBOTSUNSWORD
-4946.9	ABBOTTHEBLACK
-5038.4	ABBOTTHEBLOOD
-5074.2	ABBOTTHECOUNT
-4961.6	ABBOTTHECURSE
-4960.9	ABBOTTHEDEATH
-5012.0	ABBOTTHEDEVIL
-5125.5	ABBOTTHEDREAD
